Term,Housing or utility,Transportation,Food,Medication or medical,Social isolation,"Abuse, neglect, or exploitation",Financial difficulty
A Ride,0,1,0,0,0,0,1
A-ride,0,1,0,0,0,0,1
A-Ride,0,1,0,0,0,0,1
abandonment,0,0,0,0,1,0,0
access barrier of transportation,0,1,0,0,0,0,0
Adult Protective Services,0,0,0,0,0,1,0
adult protective services,0,0,0,0,0,1,0
adult social work funds used,0,1,0,0,0,0,1
apartment in poor condition,1,0,0,0,0,0,0
aps,0,0,0,0,0,1,0
APS,0,0,0,0,0,1,0
ARide,0,1,0,0,0,0,1
aride,0,1,0,0,0,0,1
arrange a wheelchair van,0,1,0,0,0,0,0
assistance for prescription,0,0,0,1,0,0,1
assistance with funding,0,0,0,0,0,0,1
assistance with transportation,0,1,0,0,0,0,1
Bridge card,0,0,0,0,0,0,1
bridge card,0,0,0,0,0,0,1
bus token,0,1,0,0,0,0,1
cab provided,0,1,0,0,0,0,1
can not access food/water,0,0,1,0,0,0,0
cannot access food/water,0,0,1,0,0,0,0
cannot afford a cab,0,1,0,0,0,0,1
cannot afford a wheelchair van,0,1,0,0,0,0,1
cannot afford cab,0,1,0,0,0,0,1
cannot afford transportation,0,1,0,0,0,0,1
cannot afford wheelchair van,0,1,0,0,0,0,1
cannot cook,0,0,1,0,0,0,0
cannot drive,0,1,0,0,0,0,0
cannot pay for a cab,0,1,0,0,0,0,1
cannot pay for a wheelchair van,0,1,0,0,0,0,1
cannot pay for cab,0,1,0,0,0,0,1
cannot pay for prescription,0,0,0,1,0,0,1
cannot pay for prescriptions,0,0,0,1,0,0,1
cannot pay for wheelchair van,0,1,0,0,0,0,1
Care Transport,0,1,0,0,0,0,0
Care transport,0,1,0,0,0,0,0
care transport,0,1,0,0,0,0,0
Care Transportation,0,1,0,0,0,0,0
care transportation,0,1,0,0,0,0,0
Care Transports,0,1,0,0,0,0,0
charity care,0,0,0,1,0,0,1
cluttered home,1,0,0,0,0,0,0
cluttered house,1,0,0,0,0,0,0
CMH,0,0,0,0,0,0,1
cmh,0,0,0,0,0,0,1
