area_code,gp_access_score,gp_access_quintile,gp_access_decile
E01000001,0.4397226858390037,4,7
E01000002,0.5405058415714469,3,6
E01000003,0.5841571446912311,3,5
E01000005,0.20670175889074335,5,10
E01000006,0.22082423931185005,5,9
E01000007,0.26254974964693795,5,9
E01000008,0.23879830530234944,5,9
E01000009,0.1245346000770317,5,10
E01000010,0.28951084863268717,5,9
E01000011,0.29721401977147255,5,9
E01000012,0.32802670432661446,4,8
E01000013,0.28501733213506225,5,9
E01000014,0.28437540120683014,5,9
E01000015,0.19578893311079726,5,10
E01000016,0.3755295930157915,4,8
E01000017,0.1758890743356015,5,10
E01000018,0.2201823083836179,5,9
E01000019,0.29978174348440106,5,9
E01000020,0.31262036204904353,4,8
E01000021,0.2715367826421877,5,9
E01000022,0.31262036204904353,4,8
E01000023,0.25869816407754526,5,9
E01000024,0.26383361150340223,5,9
E01000025,0.24264989087174219,5,9
E01000027,0.36782642187700604,4,8
E01000028,0.40762613942739756,4,7
E01000029,0.6072666581075876,3,5
E01000030,0.1912954166131724,5,10
E01000031,0.1187572217229426,5,10
E01000032,0.3389395301065605,4,8
E01000033,1.0482732058030555,1,2
E01000034,0.6964950571318526,2,4
E01000035,0.4653999229682886,3,6
E01000036,0.09821543201951471,5,10
E01000037,0.25741430222108097,5,9
E01000038,0.24971113108229553,5,9
E01000039,0.4172551033508794,4,7
E01000040,0.13673128771344203,5,10
E01000041,0.2715367826421877,5,9
E01000042,0.5084092951598408,3,6
E01000043,0.21889844652715368,5,10
E01000044,0.13673128771344203,5,10
E01000045,0.09885736294774683,5,10
E01000046,0.22724354859417129,5,9
E01000048,0.15149569906278082,5,10
E01000049,0.23494671973295672,5,9
E01000050,0.08987032995249711,5,10
E01000051,0.20991141353190396,5,10
E01000052,0.22981127230709977,5,9
E01000053,0.6220310694569263,3,5
E01000054,0.0808832969572474,5,10
E01000055,0.25099499293875976,5,9
E01000056,0.3241751187572217,4,8
E01000057,0.13737321864167415,5,10
E01000058,0.2221081011683143,5,9
E01000059,0.31262036204904353,4,8
E01000060,0.5385800487867506,3,6
E01000061,0.3999229682886121,4,7
E01000062,0.6759532674284247,2,4
E01000063,0.2965720888432404,5,9
E01000064,0.719604570548209,2,4
E01000065,0.18872769290024394,5,10
E01000066,0.4057003466427012,4,7
E01000067,0.14700218256515601,5,10
E01000068,0.346642701245346,4,8
E01000069,0.1380151495699063,5,10
E01000070,0.2317370650917961,5,9
E01000071,0.14186673513929904,5,10
E01000072,0.22724354859417129,5,9
E01000073,0.13994094235460264,5,10
E01000074,0.1245346000770317,5,10
E01000075,0.26447554243163435,5,9
E01000076,0.3158300166902041,4,8
E01000077,0.23430478880472458,5,9
E01000078,0.15213762999101296,5,10
E01000079,0.2798818847092053,5,9
E01000080,0.2702529207857235,5,9
E01000081,0.25934009500577737,5,9
E01000082,0.2131210681730646,5,10
E01000083,0.26640133521633075,5,9
E01000084,0.11683142893824623,5,10
E01000085,0.19514700218256514,5,10
E01000086,0.26254974964693795,5,9
E01000087,0.3267428424701502,4,8
E01000088,0.019899858775195775,5,10
E01000089,0.1540634227757093,5,10
E01000090,0.07318012581846194,5,10
E01000091,0.3665425600205418,4,8
E01000092,0.9757350109128256,2,3
E01000093,0.23623058158942095,5,9
E01000094,0.9153935036590062,2,3
E01000095,1.208114006932854,1,2
E01000096,0.26575940428809863,5,9
E01000097,0.25292078572345617,5,9
E01000098,0.2079856207472076,5,10
E01000099,0.1816664526896906,5,10
E01000100,0.1495699062780845,5,10
E01000101,0.24457568365643856,5,9
E01000102,0.25613044036461674,5,9
E01000103,0.5963538323276415,3,5
E01000104,0.43908075491077164,4,7
E01000105,0.16946976505328026,5,10
E01000106,0.22916934137886763,5,9
E01000107,0.530234946719733,3,6
E01000108,0.13673128771344203,5,10
E01000109,0.2920785723456156,5,9
E01000110,0.4397226858390037,4,7
E01000111,0.31133650019257925,4,8
E01000112,0.25035306201052765,5,9
E01000113,0.49107716009757346,3,6
E01000114,0.1502118372063166,5,10
E01000115,0.3447169084606496,4,8
E01000116,0.3915778662215945,4,7
E01000117,0.4872255745281807,3,6
E01000118,0.2105533444601361,5,10
E01000119,0.8216715881371162,2,3
E01000120,0.6059827962511234,3,5
E01000121,0.16112466298626266,5,10
E01000122,0.8858646809603286,2,3
E01000123,0.588008730260624,3,5
E01000124,0.6181794838875336,3,5
E01000125,0.20028244960842212,5,10
E01000126,0.5912183849017845,3,5
E01000127,0.084092951598408,5,10
